LAB;GRUPO;CODIGO;CODBARRA;DETALLE;COSTO;MARGEN;PRECIO;PCADENA;POFERTA;STOCK;DESCUENTO;PRINCIPIO_ACTIVO;CV_SKU
       CONAIR;;316002;74108511003;CEPILLO PELO COMPAC TRAVEL;2990.0;42.83;5740;0.0;0.0;1.0;No;;
       CONAIR;;316003;74108772022;CONAIR CEP PELO BLOW DRY STYLING;3190.0;35.79;6900;0.0;0.0;2.0;No;;
       CONAIR;;316001;74108772053;CONAIR CEP PELO CUADRADO DETANGLE STYLE;4190.0;47.41;7350;6990.0;0.0;1.0;No;;
       CONAIR;;316004;74108772008;CONAIR CEP PELO STYLE VOLUME;4090.0;57.98;7300;0.0;0.0;3.0;No;;
 BAIRON;;313001;3352712011360;SEDALIA  90 COM SUBLING;8820.0;49.96;15740;0.0;0.0;0.0;No;;
3M CHILE S.A.;;1000;7805040000606;AMOM DES CITRICO [ 49739 ];886.0;14.76;1210;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1048;7804680940044;APOSITO TRANSP ISIMED 6-7 CM X 4 UNID;1375.0;49.73;2450;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1001;7805040004499;AROM DES AMBIENTAL CHIRIMOYA [ 49735 ];886.0;65.98;1750;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1002;7805040000552;AROM DES AMBIENTAL FRUTILLA [ 49737 ];886.0;65.98;1750;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1003;7805040000620;AROM DES AMBIENTAL VAINILLA [ 49736 ];886.0;37.53;1450;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1004;7805040000576;AROM DES LAVANDA [ 49738 ];886.0;65.98;1750;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1005;60170101;BAJADA DE SUERO  - REGULADOR DE FLUJO [ 49398 ];100.0;1832.77;2300;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1006;7804995106593;BISTURI N° 11 HOJA;170.0;196.59;600;0.0;0.0;14.0;Si;;
3M CHILE S.A.;;1039;7805070024535;BOTIQUIN NEXCARE 15 PROD;4181.0;40.09;6970;5290.0;0.0;1.0;Si;;
3M CHILE S.A.;;1040;7805070024528;BOTIQUIN NEXCARE 22 PIEZAS;5691.0;61.84;10960;14490.0;0.0;0.0;Si;;
3M CHILE S.A.;;1055;1055;CAVILON 3M 92 GR;8440.0;48.35;14900;0.0;0.0;2.0;No;;
3M CHILE S.A.;;1007;1007;CAVILON PROTEC CUTAN SP 28 ML [ 51959 ];8970.0;77.06;18900;0.0;0.0;5.0;Si;;
3M CHILE S.A.;;1057;1057;COBAN 10 CM X4.5 MT;4290.0;76.1;8990;0.0;0.0;0.0;No;;
3M CHILE S.A.;;1053;1053;COBAN 5 CM 4.6 MT;2290.0;81.92;4990;0.0;0.0;0.0;No;;
3M CHILE S.A.;;1008;159753;CONTENEDOR DE BASURA 1000 LT [ 49742 ];199000.0;65.53;391990;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1051;7506195153574;GILLE.PRESTOB.3 BDYSENSX2;2860.0;44.47;4850;4490.0;0.0;7.0;No;;
3M CHILE S.A.;;1009;7891040318049;MASCARA 3M REUTILIZABLE NEGRA [ 49962 ];1690.0;38.23;2780;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1010;7804915011655;MASCARILLA 3UN PAW PETROL NI¥O [ 49963 ];1450.0;41.99;2450;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1011;4902508150200;MASCARILLA 3UNI BEBE PIGEON [ 49967 ];2850.0;44.48;4900;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1012;7804915011679;MASCARILLA LOL SURPRISE 3UN NI¥O [ 49964 ];1450.0;67.49;2890;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1013;7804915011662;MASCARILLA PAWPETROL NI¥A 3UNI [ 49966 ];1450.0;41.99;2450;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1014;7804915011693;MASCARILLA TRENDY CAMO 3 UNI [ 49965 ];1450.0;41.99;2450;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1056;1056;MICROPORE 2.5 CM X 9.1 M COLOR BLANCO;732.5;60.5;1400;0.0;0.0;1.0;No;;
3M CHILE S.A.;;1044;1044;MICROPORE 2.5 CM X 9.1 M COLOR PIEL;1305.0;61.63;2510;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1015;1322598;MICROPORE 3M 1.25X9.1M [ 53652 ];100.0;1244.54;1600;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1016;1245698;MICROPORE 3M 5CMX9.1M [ 53651 ];100.0;3925.21;4790;0.0;0.0;0.0;Si;;
3M CHILE S.A.;;1045;524191;MICROPORE 5CM X 9.1M COLOR PIEL;2621.16;60.55;5000;0.0;0.0;31.0;Si;;
3M CHILE S.A.;;1065;51131224971;NEXCARE APOSITO TRANSPARENTE TEGADERM X 3;3975.0;50.1;7100;0.0;0.0;3.0;No;;
3M CHILE S.A.;;1058;7702098004184;NEXCARE CINTA MICROPORE COLOR PIEL 2.4 X 9.1;4000.0;30.3;6190;0.0;0.0;2.0;No;;
3M CHILE S.A.;;1064;7702098004191;NEXCARE CINTA QUIRUR PAPEL PIEL 1.2X9.1;2625.0;58.46;4950;0.0;0.0;10.0;No;;
3M CHILE S.A.;;1060;7702098004146;NEXCARE CINTA QUIRURGICA  PAPEL;3400.0;63.95;5260;0.0;0.0;19.0;No;;
3M CHILE S.A.;;1063;7702098004153;NEXCARE CINTA QUIRURGICA PAPEL 4.8X9.1;4700.0;29.98;7270;0.0;0.0;2.0;No;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1017;7805070400889;NEXCARE COLD HOT COMPRESAS FRIO/CALOR [ 49 ];7545.0;51.71;13670;12740.0;0.0;3.0;Si;;
3M CHILE S.A.;;1018;51131223196;NEXCARE CURACION AVANZADA [ 54298 ];2300.0;42.86;3910;0.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1019;7805070002779;NEXCARE GASA 10CM.10CM.(6UN.) [ 14058 ];1140.0;68.07;2480;4990.0;0.0;15.0;Si;;
3M CHILE S.A.;;1047;7805070002786;NEXCARE GASA ESTERIL NO ADH 15-15;1250.0;49.92;2230;4990.0;0.0;1.0;Si;;
3M CHILE S.A.;;1054;7805070023958;NEXCARE IMPERMEABLES 15 UN;3190.0;59.9;6070;0.0;0.0;0.0;No;;
3M CHILE S.A.;;1042;7805070008207;NEXCARE LIMPIADOR DE HERIDAS SOL X 200  5100446232 | 2025-10;2270.0;29.2;3490;5140.0;0.0;0.0;Si;;
3M CHILE S.A.;;1020;51131223004;NEXCARE MAXIMA DURACION [ 54299 ];1530.0;43.35;2610;0.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1021;7805070400780;NEXCARE MICROPORE 12.5 X 9.1MM [ 52 ];2440.0;37.76;4000;7790.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1022;7805070971334;NEXCARE MICROPORE 12.5MM.9.1CMS.C/PIEL [ 15561 ];2420.0;56.26;4500;7790.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1023;7805070400797;NEXCARE MICROPORE 25 X 9.1 M [ 13 ];4635.0;35.98;7500;7690.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1024;7805070971341;NEXCARE MICROPORE 25.9.1MM [ 13398 ];4110.0;32.9;6500;7690.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1025;7805070401114;NEXCARE MICROPORE 50 X 9.1 M [ 12715 ];4800.0;38.31;7900;14390.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1026;2649;NEXCARE MINI COMPRESA FRIO/CALOR [ 17594 ];5565.0;28.35;8500;14090.0;0.0;0.0;Si;;
3M CHILE S.A.;;1027;7805070024757;NEXCARE OPTICLUDE AD.5UN. [ 38941 ];2535.0;64.09;4950;5490.0;0.0;11.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1028;7805070971433;NEXCARE PARCHE IMP.TRANS.15UN. [ 15194 ];2500.0;44.54;4300;8390.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1029;7805070004698;NEXCARE PARCHE U.DELG.100UN. [ 17392 ];2540.0;31.01;3960;7190.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1030;7805070001727;NEXCARE PARCHE U.DELG.10UN. [ 15280 ];670.0;99.42;1590;3190.0;0.0;1.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1031;7805070006968;NEXCARE PARCHE U.DELG.40UN. [ 33370 ];1770.0;111.27;4450;5290.0;0.0;1.0;Si;;
3M CHILE S.A.;;1066;7805070024658;NEXCARE PZRCHE OCULAR X 14 UNID;8150.0;49.51;14500;12290.0;0.0;0.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1032;7805070972362;NEXCARE TAPONES OIDO C/CORDON [ 10381 ];2527.5;52.58;4590;6490.0;0.0;5.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1033;7805070972300;NEXCARE TAPONES OIDOS 4PARES [ 14569 ];2870.0;49.91;5120;6490.0;0.0;1.0;Si;;
3M CHILE S.A.;PRIMEROS AUXILIOS;1034;7805070400803;NEXCARE TRANSPORE 12.5MM.9.1MT. 524760 [ 12 ];2230.0;122.33;5900;6890.0;0.0;5.0;Si;;524760
3M CHILE S.A.;;1062;7805070400810;NEXCARE TRANSPORE 25MM 1M;3100.0;79.09;6500;9690.0;0.0;8.0;No;;
3M CHILE S.A.;ACCESORIOS ORTOPEDICOS;1035;129470;NEXCARE VENDA COBAN BRONCE 75MM.4,5MT. [ 12946 ];3090.0;90.1;6990;13690.0;0.0;0.0;Si;;
3M CHILE S.A.;;1043;7798027360025;PARCHE RECTANG ISIMED X 100 UNID          20230520 | 2026-05;1080.0;24.49;1600;0.0;0.0;0.0;Si;;
